topic	userid	trans	comments	likes	user_verify	source_text	source_id	user_info	user_sex	credit	user_followers	user_fans	user_weibos
日本娱乐圈怎么了	6260534625	464	698	13149	1	#日本娱乐圈怎么了##竹内结子今年1月刚生二胎# 天哪！不是吧，竹内结子才刚生完第二胎就去世了，今年真的是魔幻2020 L追剧大赏的微博视频[泪][泪]	4553838109394367	知名电视剧博主	0		332	3805931	11954
清华学姐错告学弟性骚扰双方和解	1323527941	128	996	7523	2	【#律师称清华学姐或涉嫌诽谤#】日前，清华大学一男生被爆“性骚扰”学姐，引起广泛关注。争执过程中，学姐要求学弟交出学生证，学弟给了身份信息，并表示可以调监控来证明清白。  记者注意到，监控出来之前，学姐将学弟的个人信息公布在朋友圈，要求其“实名、公开、书面道歉，通知家长和院系”。监控显示，确实是背包无意擦到一下。事后，学姐通过辅导员，对学弟表达歉意。  11月20日，清华大学一名老师表示，事情属实，他们已解释清楚，两个人达成和解。律师表示合法曝光有利于打击犯罪，但发布不实信息并泄露隐私将涉嫌诽谤。@潇湘晨报 L潇湘晨报的微博视频	4573633185319437	《Vista看天下》官方微博	1		1864	22820037	88155
钟南山称已出现同患流感和新冠病例	2615417307	5247	13541	345079	2	【#钟南山称已出现同患流感和新冠病例# 】随着冬季来临，流感进入爆发期，钟南山指出，未来会面临同时患有流感和新冠的患者。目前收到的反馈情况中已经有4例同时患有H1H3甲流和新冠的病例。 针对目前关注度最高的疫苗，钟南山指出，自然免疫不现实、不科学、不人道，而目前在临床试验中的14种新冠疫苗当中，中国的疫苗是扎扎实实往前走的。以往的经验要找到可供我们大范围使用的“好疫苗”，以往至少需要5-6年，目前来看起码需要两三年。O钟南山：已出现同患流感和新冠病例	4575843131328399	凤凰网官方微博	1		778	19602352	36010
重庆英领馆总领事获见义勇为特别奖	6004281123	274	754	6361	2	【#英国驻重庆总领事回应救人获奖5万#：很荣幸，将捐给慈善机构】#重庆英领馆总领事获见义勇为特别奖#@英国驻重庆总领事馆 总领事史云森先生，11月14日在中山古镇救起一名落水女孩。重庆市见义勇为基金会决定授予其“重庆市见义勇为特别奖”，奖金5万。史云森称感到很荣幸，奖金将捐给当地慈善机构，希望能帮到居民们。#微博当事人# @一手Video L一手Video的秒拍视频[中国赞]	4573318638214665	资讯短视频平台	1		2731	23613930	78227
重庆英领馆总领事获见义勇为特别奖	2615417307	206	1923	22098	2	【勇救落水女孩的 #重庆英领馆总领事获见义勇为特别奖#】2020年11月14日，重庆市江津区中山古镇，一个女孩不慎落水，英国驻重庆总领事馆总领事史云森先生跳入水中施救，最终在现场群众的合力协助下，女孩被成功救起。  今（20）日，记者从重庆市见义勇为基金会了解到，史云森先生舍己救人的举动，受到社会和媒体的广泛关注和赞扬，为表彰史云森先生的见义勇为行为，重庆市见义勇为基金会决定，授予史云森先生“重庆市见义勇为特别奖”，并奖励人民币5万元。O救人的重庆英领馆总领事获“见义勇为特别奖”，...	4573278767942091	凤凰网官方微博	1		778	19602352	36010
女保洁误入男浴室撞见领导被罚2000元	2615417307	4482	16621	819267	2	【#女保洁误入男浴室撞见领导被罚2000元# 】张大姐负责杭州昆仑中心大厦的保洁工作，没敲门就进入大楼里的男浴室拿工具，物业公司罚了她2000块。张大姐一个月才拿3400，2000对她来说太多了。物业表示张大姐撞见了领导洗澡，比较严重。L凤凰网的微博视频	4575519296728647	凤凰网官方微博	1		778	19602352	36010
清华学姐错告学弟性骚扰双方和解	1618051664	481	3524	39513	2	【#律师称清华学姐或涉嫌诽谤#】日前，清华大学一男生被爆“性骚扰”学姐，引起广泛关注。争执过程中，学姐要求学弟交出学生证，学弟给了身份信息，并表示可以调监控来证明清白。  记者注意到，监控出来之前，学姐将学弟的个人信息公布在朋友圈，要求其“实名、公开、书面道歉，通知家长和院系”。监控显示，确实是背包无意擦到一下。事后，学姐通过辅导员，对学弟表达歉意。  11月20日，清华大学一名老师表示，事情属实，他们已解释清楚，两个人达成和解。律师表示合法曝光有利于打击犯罪，但发布不实信息并泄露隐私将涉嫌诽谤。#老师回应清华学姐诬陷学弟# @潇湘晨报 L潇湘晨报的微博视频	4573613451906058	24小时播报热点资讯	0		1599	100290168	196667
清华学姐错告学弟性骚扰双方和解	1267454277	403	3200	27596	2	#清华学姐# 【#律师称清华学姐或涉嫌诽谤#】日前，清华大学一男生被爆“性骚扰”学姐，引起广泛关注。争执过程中，学姐要求学弟交出学生证，学弟给了身份信息，并表示可以调监控来证明清白。  记者注意到，监控出来之前，学姐将学弟的个人信息公布在朋友圈，要求其“实名、公开、书面道歉，通知家长和院系”。监控显示，确实是背包无意擦到一下。事后，学姐通过辅导员，对学弟表达歉意。  11月20日，清华大学一名老师表示，事情属实，他们已解释清楚，两个人达成和解。律师表示合法曝光有利于打击犯罪，但发布不实信息并泄露隐私将涉嫌诽谤。#清华学姐错告学弟性骚扰双方和解##老师回应清华学姐诬陷学弟# @潇湘晨报 L潇湘晨报的微博视频	4573626773016957	凤凰周刊官方微博客	1		651	21413380	63359
日本娱乐圈怎么了	6096329611	160	227	2485	2	#日本娱乐圈怎么了#自三浦春马开始，竹内结子这是第四个了吧？也是第三个和三浦春马有关的。这是怎么了？而且都是自己结束的[泪]	4553842374752925	爱豆新闻官方微博	1		493	5512768	25088
日本娱乐圈怎么了	1642591402	1840	7804	399232	2	#日本娱乐圈怎么了# 7月18日，三浦春马被发现在东京家中死亡，警方认定系上吊自杀；9月14日，芦名星被发现在家中去世，警方确认系上吊自杀；9月20日，演员藤木孝去世，终年80岁，警方认为应是自杀；9月27日，#竹内结子去世# ，死因系在步入式衣柜中上吊自杀。希望大家都平安健康啊......[失望]	4553736972146954	新浪娱乐为你带来最新鲜的娱乐资讯	0		3377	40144488	159398
